uid,qid,0.111155
cacbe39348c6f17b85b95de462c7f80d,3ca6478ed6ecdecfcebf69ea6f1c79c7,0.006769561
c05cb644d2d5675f4f1cab07ccacd5df,3c8b3fdfa5a13372337ed0c87aed8412,0.4145654
52551116ff4504a8797d35a11a234901,4ad84e9b8fc1280651784eabe1bb9368,0
05332d705e0d8ea4b54d4f9ed48baf22,d36aac73b675f6978aae181b09155966,0.004535509
3b562bef10fed756ae8b5c2cec0bde80,e01d547660a966730f43b42da69627bf,0.1409983
9e1ae6a119f10e6fab0ad05bab975079,5eb213bd0bd5f191fd340ae9910d0dae,0.09402012
40e83312c241341a68a2afeb98a50aaf,e8804fe4ed3fad5526273be3c0eca7e8,0.1047961
00ba7cb757b0f22d7ee8c5fc26258678,c2890bba7755d015ef65ebb8691aa952,0
c9afd91ccbebd797e609530a73794a6e,c9c44de567763f4edb91143bb22be4f8,0.03477161
a3159c243c3af51abd654cc28e21faaa,3f9479fade77c1dc4e7a91ae65b90dd0,0
1d75ef2319f9d48d9216d9c8a9ab1889,aec30fb3f29d73b9f63f7d240f37b55a,0.1057153
a1e8df93e10dbb79415451c15b9ba5e1,1fc75764ce080b555751927cef92d044,0.02956086
242500425f525ebec17870d020c23311,fabc8ea7c3d55d5d835a73b244339241,0.3680759
3fe12752941c027d99197ebffbc640e5,8ce6da68cb298abcfc593853d70f7486,0
66c483da2a2a4dc7204b0299cdff0f02,4adaebdba9c93b4d0410c7842e03bdfe,0.01185034
9c626e81bee20eb2ad8ae313ee9e6865,e2d66e888eb1a15f98741563eab69225,0.04189438
0ec2391c963bded5cd83975ca36819a7,6396b4e650b407a6ae34b6809f264a72,0
83d6f07fe608f88e5025a6d4dfb2b8c3,1a78486e87b98ecdf350ed178a477f1a,0.2200905
3464120a020713e0991331886d20fc9b,4fb54b62fe1d8b7e8692cc95094cf0d5,0.1294302
5c320fc49c1ef4c9ac591b683337ad3a,51cb45f5b420a458f90f889d7377b5f2,0.5659611
084b7d0638b5d35f55da2b81231fb21c,6869602bc11b678dd1d38145fad683b9,0.003750705
7ef4247c39abd85ac261ce4a9ce99bb2,389a03d9cb732342f322a530bec92411,0.03695494
a6d0f6251a52cecd0bfe7f55e51aa4b6,61596e1433f9fdf3e34d32460858671a,0
50d4328f3dcfbef882e5aade4cf79a31,db77aedda77bc9a0f10fabd3b57eebbd,0.02758285
a022f80a4f7089e24df39c5f4ed57db1,32201de9b5eb9993b18a85a14115af7d,0.122188
f11a55c6862edfe8ab884a14c9db5f71,606ec1de94fa4ce377f42b3a766bf044,0.3138046
eb2b5cd0709743df6edb95b8a0dffb24,82e7605685e632b1a1b600601650ec67,0.008099971
b401ec9012615c4d236dd727b6732b79,2fc3498bdfdf6fe4c36caeccfad3f655,0.00503038
601d5a85dab7ed69fac1ab1f5639e8b9,cf4d084fefceb1405e2293c47b41252c,0
9406bdbc9fd30891099eef67dca09e5a,b50acefdeec0503ebecb96fff0dd0906,0
70049512850f899cff4227b8c6b2279b,54dd0961ce9ac3810c761fa95216ec02,0
a6d3e6305c5a8b3f8a0437b588046a9e,57a84668bd3237ee6cc78ec44c607812,0.5216534
075392b2e37d91d5f15e1d05f109d777,1c7d62d52148e743fb74f169e367fe0b,0
3671e863b1b9ad5834acd769fe2ec0e4,2c4f8cf0f10b00f07369f474c5e96616,0
d8f1d155da9452366176e722a39154af,bd9ddf78a98cc827bc5608b136b811a2,0
a7b6d9c97c508834e588bee69fead174,21656b668910fe575a4f582e91d97e38,0.002190515
1fa30f73551ea9c3423b6c620e510ebf,787a94fd74e24ffcbc09110a9b957704,0.01181095
8b34f1d5b44da7c708a3517641b5a611,b6e362a0d0bd524c4614c828474593f4,0.2206418
98f54e84e5dfd4fd7b195df2289af3c7,751d30ac482b02dc8690c2fd0d5f8940,0.211431
35ed78ffc88728e0dda5038cc4934a6e,4a972a98b93897352ee7259dc3b568bd,0.01775981
317ebdf261dcc2cb38d74a19a9ab93bf,5355604c3ae89c51d2c4e60cf3c42913,0.01123313
f6c11ff8e351a1b148de0324359f3782,d7b50c1012f10022ce23379047534763,0.1291856
5e477d9a9c6f4256386b251a85b5923b,507a25bf8c1cefae1920a44562f8884f,0.1403231
cf1f5fef4881fdcdae21d3c17da1d324,c6c021b59fa2666f4a366155e796ffbf,0
ee00093321ad9a7ca59e74c624480a4c,7bc5f5cf2b89df9effb2d307b4ca844b,0
d9e79e90f900e9d31d2a5c5e7c6787f3,fa39758a29dc47e0d708fd77239a78b6,0.02881862
1a302d0a846fa34b9ea1348020ae5915,04e4db4b9b7ed0c1f0d8961f52dd118c,0.04446796
c9fa1ba1da7355e33f6ad4fad963e0d9,10dafaba5f2bcf82b54739a164b15ed2,0.68422
53c32d0d606dcbcf00a9ff4db23c2286,9035a9b1efa43ba71560f36d3ca66809,0.5388293
729b2150e8437ca1bde55348b1c88b16,13ec2d0d12eaf332bf1679f4f1e363db,0.003441211
bb5450437a4d0fc280d09e489b84ac9e,db73b9e7230ce3b99033c54cb2d65a7d,0
211feaa8ca565b34c161f1aa6050de3a,8706b1b379784c8b352abdeebe162b98,0.003551379
534911f4501deddcf524dfec245a31b3,c4927e901da9ffefdb2dfe3b3f6254f6,0.02957839
956a14ae0dc73cb5a0075fa41c84a3c8,240371ca9a283bca831d86fbb209b012,0.4634494
5086b2f3a34dee6b822f3ed54b33f40d,500ace765f924a747eff8241a0d3175e,0
ba19e5d09b815c336234a08a6f10feed,239db707f230db08cc5878f38997c7d3,0
0674e4d452fd3ecda7dad8762592fd7b,a0f8cf7f247d636a0dd2ee8189037241,0
78cdffd108ae4925a1d019b0edeefa2f,f9423a5f25b368b6e8c5c62ee576c510,0
7a662bc760469f12b0b91a18d2d6135a,7fe6395cbaf6cafaf5717bb0a042e118,0.01395975
c05394bb9a4aa0d4662d79b1bdebdc24,f1b085ecdb72c2d9d34ef8db9a60328f,0
ddd1f005923090546835c2c0924cd8fc,a427fe84877f7bd7a3ebe2fc7a038f99,0
534911f4501deddcf524dfec245a31b3,9539225fc1e31da1285811f45728ea55,0.01527111
7b853a74359b3112eef86bbf6a08d950,6d876aa5d7f7d489fd9fe0706c528801,0.1402503
b801614acbdc283d19bc6354f4b8b52b,21a38007d62426fc0813a0a0f3153a9c,0
10a44cb87a317e8fb4fc853e0a152744,84dfdbc7470d142b310102f1bc90bfb2,0.6029264
489237e7d9ebf01d06cf1d2f6f8619cd,a615f1b97a4b2700e806d532fe5ea021,0
6cec81ad8ac017499761716dba02563a,168891451cfc3fc9be77ca3d5568b344,0.07121365
b87eb749646831bf8d2187b4994fe845,16a1614166dfde977b0c4580d565d598,0.4162056
a2563cd3de7f1df40fd149b6d42ef909,159ce184862746f095388afe258f4493,0.4226639
5445a5f7e24c9aa458a7326fcfc1ff6e,71d33f94019e91881016a3bf1f9d1928,0.530399
51f4b0fdfa7d0f958daf495eb6786b5d,3523aa31c56ef9e738568318790850ae,0.8389022
d99dc3d989776400692ddc7e16ba846f,f8ac117da2a5b4ed6f7b336eaa58bbcf,0.07385347
92f84da65235816db8aad5a89a6169e3,4e3b491cb362ae728ecc7fcabd80e8ab,0.6019929
917f4e87f503afa4d9b158825a73ba04,739aad707ef6c4a1fb187e40fc5c5db1,0
5aab9d0f1d3db4d4c2c49f8b4a327489,4ea7703274bcba76460b2edbe9748211,0.4610356
25b46ece20ce36b4926fd825e31670a6,7aa41599e3ee0eb2137258181c26f9dc,0.01539906
4d0a11b80cc00089bd6d3515232d909f,d0520363f6ee2d003a8b8c92242a8525,0.1075397
74122d144b2911095739910c5ae157e0,5eb0fe48d960f98b638e7a93d003d9bd,0.0957534
f8071a9c23d30789b92eb97ce5877670,31536723c8b54b3733f6daf05c98636d,0.3878114
d13dddb93953bd6a8d6bb7bb57ed0236,407f654eeb4147730c8d218ca463fc1f,0.2886468
3f3207eb76cbaf0e235d5ce8ac9bf386,77fcae8cf7a675e57f362ef90ab0db36,0.01645539
10b854e4b52a92b28d1179b6717b9305,45bb95b20e4e42ab53987dfdd8725791,0
af3bf45465c1629eebaa93c6c5feaa60,b1cc18390fbdd798099dccad1d6a9e5f,0.01688193
9f58f983417fcfbb7c4d4d6ccf4c47a3,b5a3c22eae476a08fdbcd3a2b1ab9258,0.3495941
c31ef2faf3a00962aa0ff18d2a5be459,ba6275d8c47f4f3570eb7bcd0ca76135,0
9503d706baa3997c8d1b5f285a5a11d6,dc68bc272e1ad7acba818a74e88f0137,0.1074808
06769c4337ea99ac80513764d10b5f3b,28189dae3fbe723856f81fbf5d87eeec,0.1197171
1a8d5bc46faba6483009db74a66a888c,a3c4f6e1ae014f7850178c47ae3429b8,0
