qid,uid,label
193b8ca552803400adf52782950b7076,db8e0c317b0b077025140f93f1b22c10,1.0
ce26d8a5ec55147afb19d29c22f6fc96,bda41a322dbe70e5546f40634ee4afbe,1.0
bee1b1ad6c183f354d369d2c8bf70afb,3ad87b6b5a82c4d2b49c90f3e3c01cec,1.12903225806
fbfc1d90ee44f3aef1ad51335a1497d0,159c43c223ea38928b12427409cc499f,1.0
7b448e597333d514a34bee2ca3bac998,6b399563f33c21fa7e7502ef84659125,1.4
1fd427574fea31b4eb7d7802b04c3e6c,cbf12e75c9ee120a5d6a16e4eca27fe0,1.0
0c4fe639d4194d8cc0cddbab4406576b,3d48b15166acbe4e6e90f044b49dcc26,1.36363636364
fc5ba6d391ace43fcd945a80d0cfc1c0,d92fef9eeaec3031946f2067c60ca28b,1.92307692308
53aa75e4d833ff00b792c3c6fa4b0034,71a0470a0f90924e3b2d29a9e29d71e9,1.0
8cc237a72f5442eb86e016556ab99a8f,bf335dc3c9242df1b36e025a214d07d3,1.0
4d3080fab50fd3e4c55822cd1877310f,604774f7d44718eedd69cfcd7dbe356c,1.0
21fe58ec3e608b13494e96af2137de9f,50d3e7a4d3e5614674e01e50b98ce049,1.0
8304fb2d94318d4768acf96acc707489,df3cb7b3ec31d412f3e0cb263084fc38,1.0
83b219d1bbcab5ab39555f65c22790ac,b3b4155c6de0d7dd9534f8fd001233b2,1.0
53fae6cadb91867568dd0795ac38c9e9,0255c422a233a11a687279e90df486d8,1.17391304348
04bfc22140bd5c754cda659859109cba,cb0c563c7dd3ca8670203756d4037300,1.0
bccea4024fb02a3ed3258dad45673f34,2513b68c39f4546b91a3086198559a75,1.0
ad02660888fbf9f2ab063a791c5d0426,09500ccf2ae2829fc56ab4af8493a43a,2.0
f1e7b1411030aea6917f48f2beaf6569,741aef2419f1e2c822e20e08a49e54dd,1.36363636364
e576f869ac92e0b56a89ea5e01c21fb2,33fefa10178190b32ca047097337a8e3,1.22222222222
1a8d5bc46faba6483009db74a66a888c,e3bec0e2bbe926e471d3f90761da563c,1.0
0a2eea38910e492a00b39e4d90060dbc,2db6964639c140ddb3b3dc6436ed1fb5,1.0
25d769e0ee4a62e21950f36dc1bedf6f,5e686baa8f9dac9518911f0ee896cb7a,1
6cbb0af0d99870221b83c495df2e24cd,ce4e19db6a21151f0c600967148bc841,2.81818181818
a13827766e4eb8370eeeb8de990419b7,6e716f10def355048b47e46e97f1037d,1.0
0577f539e466fa04f7cb6f94084bbf5e,0721b87badedf2e70ca34b148a5aa6a6,2.14285714286
333ea16aa255f2573766751f5afbe433,ae0cb889011ae8b59d0b88943606c401,1.0
ede6cee119c8d93e63dd25130cf0d92e,d46a53cfefc2440f1075572e04928318,1.0
6c7e8d7ecfbb088e0752b25f2c8df450,6c5811b8e704c8ea7a35f0a8564fbf9f,2.09090909091
8b68ff3dfe5b8a6a037b9e9053f765d7,be88d1031e11c73317e3cf28f8156e1b,3.33333333333
b6a9b7f2acedef609ca3f1987561eca0,9119c89f93627d51bc9811c6e34be9b9,2.06666666667
3cccc048bf4ace67eb226a97298b2995,ddfd2e9c97266adde637b465c4ea48fb,1.30769230769
9a8873e3eb246c840c31ddd8315ff4fd,71b8070aa597b9bd09882f42f9014682,1.0
ec4044876556feb6340a19732ad580d5,9d837d17dac6bb0815848900f7303d57,1.0
880fccc10cd8ea6f29e49ab1e4d93b34,05f0505ff421e4cc61999d16b61c45ca,2.41176470588
522d05141cf3b807e17c3095acf48198,f6b64a702a662694c7d4c71a3296123e,1.0
1a8d5bc46faba6483009db74a66a888c,a4c3e8e530da658e218e9c197bbc1104,2.33333333333
6720f26d88035afba09ab42d7f5972a0,e5204b5046d574db0da46850918eb768,1.0
9001c29eb37f384ca97fe1c41414cfd4,8c9fa7ffb62477853828e59bcfe94dc0,1.36363636364
f4fee50e76f9bf7c4aae81a15d79d3d8,f2bf5a254e8f7d73392819bc9140a3d7,2.12820512821
b569011c4529bc2b1ecad91b611bde44,25a0ddfb4f30b71332205cb146515ebb,1
10a464796b6423353a4c8961f0d8193f,db871d001b25304c291514344aab6fe1,1.0
1cdb2ce660b09e8ce560ba98a3ac6ea4,007b78fae4f0d30667b706547e1cc9ff,1.0
271e6ba1ae38ddf7f8c957a83bb11078,c9698685f74280789e0813f148317f89,1.0
26d118ae68ed1a25bf687fc8583aedcd,736adde31393d8c4f312e44f991c1f95,1.0
e591f6b657b94d77ae301deb72cf3fcf,cf826fa9bccb6d3b6ae4dbd10799e51b,1.0
4f377ee75ae5420518d04172531cfda1,97f8a895c77e5b7c944b67e54b922289,1.0
bcc3948aad0ac73a5c8603028c017dab,f2a1a0e594db704559d499492a0f005a,1.97777777778
25ec591d6ce94948b1fe4bfae6b1eb48,cde3d5631d99a1349b3bfcdcb820fa1f,1.0
dcbe044fc108fdecba6c851159796bd5,92124ccf5f27324394d9e349a27ee71e,1.0
